line_number,spoken_line_cue,phonics_performance_cue,script_or_sound,current_recording_location_and_filename,new_recording_location_and_filename,recording_type,letter,recording_notes,lookup_key,recording_id,current_duration_seconds,current_recording_url
013,Line zero one three.,The m sound at the start of moon. Make the sound only.,Letter M: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8cf5844c38045aa1.wav,,phonics,M,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",muh,8cf5844c38045aa1,0.434,https://kpopboom.party/little-patterns/assets/voice/8cf5844c38045aa1.wav
014,Line zero one four.,The n sound at the start of nest. Make the sound only.,Letter N: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\dcf2e01ec4ea88bf.wav,,phonics,N,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",nuh,dcf2e01ec4ea88bf,0.425,https://kpopboom.party/little-patterns/assets/voice/dcf2e01ec4ea88bf.wav
015,Line zero one five.,"Short o, as in off or on. Not oh.","Short o, as in off or on",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3a40254ce551234c.wav,,phonics,O,"Record only the sound, not the letter name, this instruction, or the internal lookup key.",phonics-o,3a40254ce551234c,0.427,https://kpopboom.party/little-patterns/assets/voice/3a40254ce551234c.wav
016,Line zero one six.,The p sound at the start of pot. Make the sound only.,Letter P: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6dc77b6b33cfb87c.wav,,phonics,P,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",puh,6dc77b6b33cfb87c,0.42,https://kpopboom.party/little-patterns/assets/voice/6dc77b6b33cfb87c.wav
017,Line zero one seven.,The qu sound at the start of queen. Make the sound only.,Letter Q: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\57c4b8ce664bec85.wav,,phonics,Q,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",kwuh,57c4b8ce664bec85,0.383,https://kpopboom.party/little-patterns/assets/voice/57c4b8ce664bec85.wav
018,Line zero one eight.,"Sustained r, as in rurrrr. Not the letter name.",Sustained r; rurrrr,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6bc2da7bf883f8c8.wav,,phonics,R,"Record only the sound, not the letter name, this instruction, or the internal lookup key.",phonics-r,6bc2da7bf883f8c8,0.346,https://kpopboom.party/little-patterns/assets/voice/6bc2da7bf883f8c8.wav
019,Line zero one nine.,The s sound at the start of sun. Make the sound only.,Letter S: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\09444a69322fe262.wav,,phonics,S,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",suh,09444a69322fe262,0.404,https://kpopboom.party/little-patterns/assets/voice/09444a69322fe262.wav
020,Line zero two zero.,The t sound at the start of top. Make the sound only.,Letter T: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\56da34e117f26910.wav,,phonics,T,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",tuh,56da34e117f26910,0.375,https://kpopboom.party/little-patterns/assets/voice/56da34e117f26910.wav
021,Line zero two one.,"Short u, as in up. Uh, not you.",Letter U: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\beba745afae85039.wav,,phonics,U,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",uh,beba745afae85039,0.364,https://kpopboom.party/little-patterns/assets/voice/beba745afae85039.wav
022,Line zero two two.,The v sound at the start of van. Make the sound only.,Letter V: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aec36b9bd60a968b.wav,,phonics,V,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",vuh,aec36b9bd60a968b,0.393,https://kpopboom.party/little-patterns/assets/voice/aec36b9bd60a968b.wav
023,Line zero two three.,The w sound at the start of wet. Make the sound only.,Letter W: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de32b2ec5fa60ef8.wav,,phonics,W,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",wuh,de32b2ec5fa60ef8,0.458,https://kpopboom.party/little-patterns/assets/voice/de32b2ec5fa60ef8.wav
024,Line zero two four.,"Kus: one sound sequence, not the names of letters.","Kus, one sound sequence rather than letter names",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\41d3158aad4af591.wav,,phonics,X,"Record only the sound, not the letter name, this instruction, or the internal lookup key.",phonics-x,41d3158aad4af591,0.471,https://kpopboom.party/little-patterns/assets/voice/41d3158aad4af591.wav
025,Line zero two five.,The y sound at the start of yes. Make the sound only.,Letter Y: record its phonics sound,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de9cacd3ffd7b623.wav,,phonics,Y,"Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.",yuh,de9cacd3ffd7b623,0.437,https://kpopboom.party/little-patterns/assets/voice/de9cacd3ffd7b623.wav
026,Line zero two six.,Voiced zzzuh. Not suh and not the letter name.,"Voiced zzzuh, not s",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f0a7e77bf713674d.wav,,phonics,Z,"Record only the sound, not the letter name, this instruction, or the internal lookup key.",phonics-z,f0a7e77bf713674d,0.409,https://kpopboom.party/little-patterns/assets/voice/f0a7e77bf713674d.wav
027,Line zero two seven.,,A blank can grow.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\318737ba812203d6.wav,,sentence with blank,,Say the word blank aloud.,a blank can grow,318737ba812203d6,1.152,https://kpopboom.party/little-patterns/assets/voice/318737ba812203d6.wav
028,Line zero two eight.,,"A butterfly lands near Robin. Robin says, I feel surprised.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c79cbe0f23b56ed6.wav,,feelings,,,"a butterfly lands near robin. robin says, i feel surprised",c79cbe0f23b56ed6,3.639,https://kpopboom.party/little-patterns/assets/voice/c79cbe0f23b56ed6.wav
029,Line zero two nine.,,A different picture. Look again.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\067075d55b7b1d71.wav,,feelings,,,a different picture. look again,067075d55b7b1d71,1.331,https://kpopboom.party/little-patterns/assets/voice/067075d55b7b1d71.wav
030,Line zero three zero.,,A fish can blank.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a53140d5bdb890dd.wav,,sentence with blank,,Say the word blank aloud.,a fish can blank,a53140d5bdb890dd,1.067,https://kpopboom.party/little-patterns/assets/voice/a53140d5bdb890dd.wav
031,Line zero three one.,,A fish can SWIM.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de2b9df1ad40e761.wav,,complete sentence,,,a fish can swim,de2b9df1ad40e761,1.017,https://kpopboom.party/little-patterns/assets/voice/de2b9df1ad40e761.wav
032,Line zero three two.,,A FLOWER can grow.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8ef20b3c7328254f.wav,,complete sentence,,,a flower can grow,8ef20b3c7328254f,1.137,https://kpopboom.party/little-patterns/assets/voice/8ef20b3c7328254f.wav
033,Line zero three three.,,A wet blank can swim.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6ec83d37028ce3b3.wav,,sentence with blank,,Say the word blank aloud.,a wet blank can swim,6ec83d37028ce3b3,1.451,https://kpopboom.party/little-patterns/assets/voice/6ec83d37028ce3b3.wav
034,Line zero three four.,,A wet FISH can swim.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0850135ee07514d8.wav,,complete sentence,,,a wet fish can swim,0850135ee07514d8,1.463,https://kpopboom.party/little-patterns/assets/voice/0850135ee07514d8.wav
035,Line zero three five.,,A word for my feeling.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\88a230c523e155e0.wav,,feelings,,,a word for my feeling,88a230c523e155e0,1.272,https://kpopboom.party/little-patterns/assets/voice/88a230c523e155e0.wav
036,Line zero three six.,,"Ali has planted a seed. Ali says, I feel proud.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ae316f9d5c309ed3.wav,,feelings,,,"ali has planted a seed. ali says, i feel proud",ae316f9d5c309ed3,3.224,https://kpopboom.party/little-patterns/assets/voice/ae316f9d5c309ed3.wav
037,Line zero three seven.,,Ali is angry.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0c249c9ef311e25b.wav,,feelings,,,ali is angry,0c249c9ef311e25b,1.02,https://kpopboom.party/little-patterns/assets/voice/0c249c9ef311e25b.wav
038,Line zero three eight.,,"Ali is building. The tower keeps falling. Ali says, I feel angry.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\93dc09c678f2eb9c.wav,,feelings,,,"ali is building. the tower keeps falling. ali says, i feel angry",93dc09c678f2eb9c,4.114,https://kpopboom.party/little-patterns/assets/voice/93dc09c678f2eb9c.wav
039,Line zero three nine.,,Ali is calm.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\34f8f3a3ae9e4d7f.wav,,feelings,,,ali is calm,34f8f3a3ae9e4d7f,0.905,https://kpopboom.party/little-patterns/assets/voice/34f8f3a3ae9e4d7f.wav
040,Line zero four zero.,,Ali is disappointed.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5688ec9603bb315a.wav,,feelings,,,ali is disappointed,5688ec9603bb315a,1.357,https://kpopboom.party/little-patterns/assets/voice/5688ec9603bb315a.wav
041,Line zero four one.,,Ali is excited.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\78776f9d06eca6a4.wav,,feelings,,,ali is excited,78776f9d06eca6a4,1.21,https://kpopboom.party/little-patterns/assets/voice/78776f9d06eca6a4.wav
042,Line zero four two.,,Ali is frustrated.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\993a7ed5e448b8a3.wav,,feelings,,,ali is frustrated,993a7ed5e448b8a3,1.271,https://kpopboom.party/little-patterns/assets/voice/993a7ed5e448b8a3.wav
043,Line zero four three.,,Ali is happy.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0cbce78803d516f9.wav,,feelings,,,ali is happy,0cbce78803d516f9,0.929,https://kpopboom.party/little-patterns/assets/voice/0cbce78803d516f9.wav
044,Line zero four four.,,Ali is proud.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9ee0b4a48b0b177f.wav,,feelings,,,ali is proud,9ee0b4a48b0b177f,1.131,https://kpopboom.party/little-patterns/assets/voice/9ee0b4a48b0b177f.wav
045,Line zero four five.,,Ali is sad.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d5f69273e723df09.wav,,feelings,,,ali is sad,d5f69273e723df09,0.994,https://kpopboom.party/little-patterns/assets/voice/d5f69273e723df09.wav
046,Line zero four six.,,Ali is surprised.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fd3222d50e4c9749.wav,,feelings,,,ali is surprised,fd3222d50e4c9749,1.219,https://kpopboom.party/little-patterns/assets/voice/fd3222d50e4c9749.wav
047,Line zero four seven.,,"Ali is trying a new slide. Ali says, I feel worried.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2cba84aa26e49a99.wav,,feelings,,,"ali is trying a new slide. ali says, i feel worried",2cba84aa26e49a99,3.492,https://kpopboom.party/little-patterns/assets/voice/2cba84aa26e49a99.wav
048,Line zero four eight.,,"Ali is trying to untie a knot. Ali says, I feel frustrated.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\714d67a2f765f5cf.wav,,feelings,,,"ali is trying to untie a knot. ali says, i feel frustrated",714d67a2f765f5cf,4.11,https://kpopboom.party/little-patterns/assets/voice/714d67a2f765f5cf.wav
049,Line zero four nine.,,Ali is worried.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\90f3a9006b2e2160.wav,,feelings,,,ali is worried,90f3a9006b2e2160,1.021,https://kpopboom.party/little-patterns/assets/voice/90f3a9006b2e2160.wav
050,Line zero five zero.,,"Ali says, I feel angry.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7a51f6b4843294ed.wav,,feelings,,,"ali says, i feel angry",7a51f6b4843294ed,1.774,https://kpopboom.party/little-patterns/assets/voice/7a51f6b4843294ed.wav
051,Line zero five one.,,"Ali says, I feel frustrated.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ce427c63ffb341e9.wav,,feelings,,,"ali says, i feel frustrated",ce427c63ffb341e9,2.022,https://kpopboom.party/little-patterns/assets/voice/ce427c63ffb341e9.wav
052,Line zero five two.,,"Ali says, I feel happy.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aa0275a9d7d3b86f.wav,,feelings,,,"ali says, i feel happy",aa0275a9d7d3b86f,1.466,https://kpopboom.party/little-patterns/assets/voice/aa0275a9d7d3b86f.wav
053,Line zero five three.,,"Ali says, I feel proud.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7d9bda1f17acf2dd.wav,,feelings,,,"ali says, i feel proud",7d9bda1f17acf2dd,1.646,https://kpopboom.party/little-patterns/assets/voice/7d9bda1f17acf2dd.wav
054,Line zero five four.,,"Ali says, I feel worried.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7b41fd237f719689.wav,,feelings,,,"ali says, i feel worried",7b41fd237f719689,1.775,https://kpopboom.party/little-patterns/assets/voice/7b41fd237f719689.wav
055,Line zero five five.,,"Ali sees a flower in the garden. Ali says, I feel happy.",C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a558894b56f47ffb.wav,,feelings,,,"ali sees a flower in the garden. ali says, i feel happy",a558894b56f47ffb,3.676,https://kpopboom.party/little-patterns/assets/voice/a558894b56f47ffb.wav
056,Line zero five six.,,Angry,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0a96f1960786d85f.wav,,feelings,,,angry,0a96f1960786d85f,0.553,https://kpopboom.party/little-patterns/assets/voice/0a96f1960786d85f.wav
057,Line zero five seven.,,APPLE,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3a7bd3e2360a3d29.wav,,word,,,apple,3a7bd3e2360a3d29,0.396,https://kpopboom.party/little-patterns/assets/voice/3a7bd3e2360a3d29.wav
058,Line zero five eight.,,apples,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f5903f51e341a783.wav,,word or reusable phrase,,,apples,f5903f51e341a783,0.615,https://kpopboom.party/little-patterns/assets/voice/f5903f51e341a783.wav
059,Line zero five nine.,,ASLEEP,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ea51ae6e548ffbb8.wav,,word,,,asleep,ea51ae6e548ffbb8,0.546,https://kpopboom.party/little-patterns/assets/voice/ea51ae6e548ffbb8.wav
060,Line zero six zero.,,BALL,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e9de08263f4ad491.wav,,word,,,ball,e9de08263f4ad491,0.456,https://kpopboom.party/little-patterns/assets/voice/e9de08263f4ad491.wav
061,Line zero six one.,,BASKET,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fa76d99ad957d952.wav,,word,,,basket,fa76d99ad957d952,0.565,https://kpopboom.party/little-patterns/assets/voice/fa76d99ad957d952.wav
062,Line zero six two.,,BIG,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2a21fe6d592a19b7.wav,,word,,,big,2a21fe6d592a19b7,0.396,https://kpopboom.party/little-patterns/assets/voice/2a21fe6d592a19b7.wav
063,Line zero six three.,,BUS,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\04e027e4990a203f.wav,,word,,,bus,04e027e4990a203f,0.508,https://kpopboom.party/little-patterns/assets/voice/04e027e4990a203f.wav
064,Line zero six four.,,Calm,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2b4b2eadf7b2aece.wav,,feelings,,,calm,2b4b2eadf7b2aece,0.506,https://kpopboom.party/little-patterns/assets/voice/2b4b2eadf7b2aece.wav
065,Line zero six five.,,CAT,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\77af778b51abd4a3.wav,,word,,,cat,77af778b51abd4a3,0.436,https://kpopboom.party/little-patterns/assets/voice/77af778b51abd4a3.wav
066,Line zero six six.,,circle,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8a39178d327e72a9.wav,,word or reusable phrase,,,circle,8a39178d327e72a9,0.523,https://kpopboom.party/little-patterns/assets/voice/8a39178d327e72a9.wav
067,Line zero six seven.,,Copy if you like. Or just look.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2c1fbe9f0df5e77f.wav,,feelings,,,copy if you like. or just look,2c1fbe9f0df5e77f,1.559,https://kpopboom.party/little-patterns/assets/voice/2c1fbe9f0df5e77f.wav
068,Line zero six eight.,,Correct!,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\15a596e3c98c407e.wav,,feelings,,,correct,15a596e3c98c407e,0.653,https://kpopboom.party/little-patterns/assets/voice/15a596e3c98c407e.wav
069,Line zero six nine.,,diamond,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\81c9d6128b5fcd7b.wav,,word or reusable phrase,,,diamond,81c9d6128b5fcd7b,0.645,https://kpopboom.party/little-patterns/assets/voice/81c9d6128b5fcd7b.wav
070,Line zero seven zero.,,Disappointed,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\364d78e6fc3db786.wav,,feelings,,,disappointed,364d78e6fc3db786,0.94,https://kpopboom.party/little-patterns/assets/voice/364d78e6fc3db786.wav
071,Line zero seven one.,,DOG,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cd6357efdd966de8.wav,,word,,,dog,cd6357efdd966de8,0.547,https://kpopboom.party/little-patterns/assets/voice/cd6357efdd966de8.wav
072,Line zero seven two.,,DRY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b755cb248c3c4a7d.wav,,word,,,dry,b755cb248c3c4a7d,0.45,https://kpopboom.party/little-patterns/assets/voice/b755cb248c3c4a7d.wav
073,Line zero seven three.,,EIGHT,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c195d2d875623436.wav,,number,,,eight,c195d2d875623436,0.526,https://kpopboom.party/little-patterns/assets/voice/c195d2d875623436.wav
074,Line zero seven four.,,EIGHTEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\34357b18abddea18.wav,,number,,,eighteen,34357b18abddea18,0.591,https://kpopboom.party/little-patterns/assets/voice/34357b18abddea18.wav
075,Line zero seven five.,,EIGHTY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0dbc3407a7080e3d.wav,,number,,,eighty,0dbc3407a7080e3d,0.607,https://kpopboom.party/little-patterns/assets/voice/0dbc3407a7080e3d.wav
076,Line zero seven six.,,ELEVEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e979074ebd5633a7.wav,,number,,,eleven,e979074ebd5633a7,0.529,https://kpopboom.party/little-patterns/assets/voice/e979074ebd5633a7.wav
077,Line zero seven seven.,,equals,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e93cb41d4a7d2395.wav,,word or reusable phrase,,,equals,e93cb41d4a7d2395,0.665,https://kpopboom.party/little-patterns/assets/voice/e93cb41d4a7d2395.wav
078,Line zero seven eight.,,Excited,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8d1c8a7a12c3739b.wav,,feelings,,,excited,8d1c8a7a12c3739b,0.771,https://kpopboom.party/little-patterns/assets/voice/8d1c8a7a12c3739b.wav
079,Line zero seven nine.,,FAST,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\115dc3606fbf8691.wav,,word,,,fast,115dc3606fbf8691,0.55,https://kpopboom.party/little-patterns/assets/voice/115dc3606fbf8691.wav
080,Line zero eight zero.,,FIFTEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c463967e5708cab7.wav,,number,,,fifteen,c463967e5708cab7,0.672,https://kpopboom.party/little-patterns/assets/voice/c463967e5708cab7.wav
081,Line zero eight one.,,FIFTY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f8d807ee15e983f8.wav,,number,,,fifty,f8d807ee15e983f8,0.538,https://kpopboom.party/little-patterns/assets/voice/f8d807ee15e983f8.wav
082,Line zero eight two.,,Find the same picture.,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ac2198cf54b12093.wav,,feelings,,,find the same picture,ac2198cf54b12093,1.23,https://kpopboom.party/little-patterns/assets/voice/ac2198cf54b12093.wav
083,Line zero eight three.,,FISH,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b474a99a2705e23c.wav,,word,,,fish,b474a99a2705e23c,0.495,https://kpopboom.party/little-patterns/assets/voice/b474a99a2705e23c.wav
084,Line zero eight four.,,FIVE,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\222b0bd51fcef7e6.wav,,number,,,five,222b0bd51fcef7e6,0.574,https://kpopboom.party/little-patterns/assets/voice/222b0bd51fcef7e6.wav
085,Line zero eight five.,,FLOWER,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c06b0cfe0cc5e900.wav,,word,,,flower,c06b0cfe0cc5e900,0.465,https://kpopboom.party/little-patterns/assets/voice/c06b0cfe0cc5e900.wav
086,Line zero eight six.,,FORTY,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9cee2304bd633d42.wav,,number,,,forty,9cee2304bd633d42,0.538,https://kpopboom.party/little-patterns/assets/voice/9cee2304bd633d42.wav
087,Line zero eight seven.,,FOUR,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\04efaf080f5a3e74.wav,,number,,,four,04efaf080f5a3e74,0.395,https://kpopboom.party/little-patterns/assets/voice/04efaf080f5a3e74.wav
088,Line zero eight eight.,,FOURTEEN,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fef8f41cdcd20386.wav,,number,,,fourteen,fef8f41cdcd20386,0.687,https://kpopboom.party/little-patterns/assets/voice/fef8f41cdcd20386.wav
089,Line zero eight nine.,,Frustrated,C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6afb642998f6a61b.wav,,feelings,,,frustrated,6afb642998f6a61b,0.826,https://kpopboom.party/little-patterns/assets/voice/6afb642998f6a61b.wav
