"script_or_sound","current_recording_location_and_filename","new_recording_location_and_filename","recording_type","letter","recording_notes","lookup_key","recording_id","current_duration_seconds","current_recording_url"
"Letter K: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4531a6e8544d9f5a.wav","","phonics","K","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","kuh","4531a6e8544d9f5a","0.388","https://kpopboom.party/little-patterns/assets/voice/4531a6e8544d9f5a.wav"
"Ul, ending in l","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c66d9929f219107e.wav","","phonics","L","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-l","c66d9929f219107e","0.364","https://kpopboom.party/little-patterns/assets/voice/c66d9929f219107e.wav"
"Letter M: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8cf5844c38045aa1.wav","","phonics","M","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","muh","8cf5844c38045aa1","0.434","https://kpopboom.party/little-patterns/assets/voice/8cf5844c38045aa1.wav"
"Letter N: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\dcf2e01ec4ea88bf.wav","","phonics","N","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","nuh","dcf2e01ec4ea88bf","0.425","https://kpopboom.party/little-patterns/assets/voice/dcf2e01ec4ea88bf.wav"
"Short o, as in off or on","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3a40254ce551234c.wav","","phonics","O","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-o","3a40254ce551234c","0.427","https://kpopboom.party/little-patterns/assets/voice/3a40254ce551234c.wav"
"Letter P: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6dc77b6b33cfb87c.wav","","phonics","P","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","puh","6dc77b6b33cfb87c","0.42","https://kpopboom.party/little-patterns/assets/voice/6dc77b6b33cfb87c.wav"
"Letter Q: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\57c4b8ce664bec85.wav","","phonics","Q","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","kwuh","57c4b8ce664bec85","0.383","https://kpopboom.party/little-patterns/assets/voice/57c4b8ce664bec85.wav"
"Sustained r; rurrrr","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6bc2da7bf883f8c8.wav","","phonics","R","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-r","6bc2da7bf883f8c8","0.346","https://kpopboom.party/little-patterns/assets/voice/6bc2da7bf883f8c8.wav"
"Letter S: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\09444a69322fe262.wav","","phonics","S","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","suh","09444a69322fe262","0.404","https://kpopboom.party/little-patterns/assets/voice/09444a69322fe262.wav"
"Letter T: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\56da34e117f26910.wav","","phonics","T","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","tuh","56da34e117f26910","0.375","https://kpopboom.party/little-patterns/assets/voice/56da34e117f26910.wav"
"Letter U: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\beba745afae85039.wav","","phonics","U","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","uh","beba745afae85039","0.364","https://kpopboom.party/little-patterns/assets/voice/beba745afae85039.wav"
"Letter V: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aec36b9bd60a968b.wav","","phonics","V","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","vuh","aec36b9bd60a968b","0.393","https://kpopboom.party/little-patterns/assets/voice/aec36b9bd60a968b.wav"
"Letter W: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de32b2ec5fa60ef8.wav","","phonics","W","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","wuh","de32b2ec5fa60ef8","0.458","https://kpopboom.party/little-patterns/assets/voice/de32b2ec5fa60ef8.wav"
"Kus, one sound sequence rather than letter names","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\41d3158aad4af591.wav","","phonics","X","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-x","41d3158aad4af591","0.471","https://kpopboom.party/little-patterns/assets/voice/41d3158aad4af591.wav"
"Letter Y: record its phonics sound","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de9cacd3ffd7b623.wav","","phonics","Y","Record only the sound, not the letter name, this instruction, or the internal lookup key. Existing clip uses a spelling-based approximation; listen before replacing.","yuh","de9cacd3ffd7b623","0.437","https://kpopboom.party/little-patterns/assets/voice/de9cacd3ffd7b623.wav"
"Voiced zzzuh, not s","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f0a7e77bf713674d.wav","","phonics","Z","Record only the sound, not the letter name, this instruction, or the internal lookup key.","phonics-z","f0a7e77bf713674d","0.409","https://kpopboom.party/little-patterns/assets/voice/f0a7e77bf713674d.wav"
"A blank can grow.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\318737ba812203d6.wav","","sentence with blank","","Say the word blank aloud.","a blank can grow","318737ba812203d6","1.152","https://kpopboom.party/little-patterns/assets/voice/318737ba812203d6.wav"
"A butterfly lands near Robin. Robin says, I feel surprised.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c79cbe0f23b56ed6.wav","","feelings","","","a butterfly lands near robin. robin says, i feel surprised","c79cbe0f23b56ed6","3.639","https://kpopboom.party/little-patterns/assets/voice/c79cbe0f23b56ed6.wav"
"A different picture. Look again.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\067075d55b7b1d71.wav","","feelings","","","a different picture. look again","067075d55b7b1d71","1.331","https://kpopboom.party/little-patterns/assets/voice/067075d55b7b1d71.wav"
"A fish can blank.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a53140d5bdb890dd.wav","","sentence with blank","","Say the word blank aloud.","a fish can blank","a53140d5bdb890dd","1.067","https://kpopboom.party/little-patterns/assets/voice/a53140d5bdb890dd.wav"
"A fish can SWIM.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\de2b9df1ad40e761.wav","","complete sentence","","","a fish can swim","de2b9df1ad40e761","1.017","https://kpopboom.party/little-patterns/assets/voice/de2b9df1ad40e761.wav"
"A FLOWER can grow.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8ef20b3c7328254f.wav","","complete sentence","","","a flower can grow","8ef20b3c7328254f","1.137","https://kpopboom.party/little-patterns/assets/voice/8ef20b3c7328254f.wav"
"A wet blank can swim.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6ec83d37028ce3b3.wav","","sentence with blank","","Say the word blank aloud.","a wet blank can swim","6ec83d37028ce3b3","1.451","https://kpopboom.party/little-patterns/assets/voice/6ec83d37028ce3b3.wav"
"A wet FISH can swim.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0850135ee07514d8.wav","","complete sentence","","","a wet fish can swim","0850135ee07514d8","1.463","https://kpopboom.party/little-patterns/assets/voice/0850135ee07514d8.wav"
"A word for my feeling.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\88a230c523e155e0.wav","","feelings","","","a word for my feeling","88a230c523e155e0","1.272","https://kpopboom.party/little-patterns/assets/voice/88a230c523e155e0.wav"
"Ali has planted a seed. Ali says, I feel proud.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ae316f9d5c309ed3.wav","","feelings","","","ali has planted a seed. ali says, i feel proud","ae316f9d5c309ed3","3.224","https://kpopboom.party/little-patterns/assets/voice/ae316f9d5c309ed3.wav"
"Ali is angry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0c249c9ef311e25b.wav","","feelings","","","ali is angry","0c249c9ef311e25b","1.02","https://kpopboom.party/little-patterns/assets/voice/0c249c9ef311e25b.wav"
"Ali is building. The tower keeps falling. Ali says, I feel angry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\93dc09c678f2eb9c.wav","","feelings","","","ali is building. the tower keeps falling. ali says, i feel angry","93dc09c678f2eb9c","4.114","https://kpopboom.party/little-patterns/assets/voice/93dc09c678f2eb9c.wav"
"Ali is calm.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\34f8f3a3ae9e4d7f.wav","","feelings","","","ali is calm","34f8f3a3ae9e4d7f","0.905","https://kpopboom.party/little-patterns/assets/voice/34f8f3a3ae9e4d7f.wav"
"Ali is disappointed.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\5688ec9603bb315a.wav","","feelings","","","ali is disappointed","5688ec9603bb315a","1.357","https://kpopboom.party/little-patterns/assets/voice/5688ec9603bb315a.wav"
"Ali is excited.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\78776f9d06eca6a4.wav","","feelings","","","ali is excited","78776f9d06eca6a4","1.21","https://kpopboom.party/little-patterns/assets/voice/78776f9d06eca6a4.wav"
"Ali is frustrated.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\993a7ed5e448b8a3.wav","","feelings","","","ali is frustrated","993a7ed5e448b8a3","1.271","https://kpopboom.party/little-patterns/assets/voice/993a7ed5e448b8a3.wav"
"Ali is happy.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0cbce78803d516f9.wav","","feelings","","","ali is happy","0cbce78803d516f9","0.929","https://kpopboom.party/little-patterns/assets/voice/0cbce78803d516f9.wav"
"Ali is proud.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9ee0b4a48b0b177f.wav","","feelings","","","ali is proud","9ee0b4a48b0b177f","1.131","https://kpopboom.party/little-patterns/assets/voice/9ee0b4a48b0b177f.wav"
"Ali is sad.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\d5f69273e723df09.wav","","feelings","","","ali is sad","d5f69273e723df09","0.994","https://kpopboom.party/little-patterns/assets/voice/d5f69273e723df09.wav"
"Ali is surprised.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fd3222d50e4c9749.wav","","feelings","","","ali is surprised","fd3222d50e4c9749","1.219","https://kpopboom.party/little-patterns/assets/voice/fd3222d50e4c9749.wav"
"Ali is trying a new slide. Ali says, I feel worried.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2cba84aa26e49a99.wav","","feelings","","","ali is trying a new slide. ali says, i feel worried","2cba84aa26e49a99","3.492","https://kpopboom.party/little-patterns/assets/voice/2cba84aa26e49a99.wav"
"Ali is trying to untie a knot. Ali says, I feel frustrated.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\714d67a2f765f5cf.wav","","feelings","","","ali is trying to untie a knot. ali says, i feel frustrated","714d67a2f765f5cf","4.11","https://kpopboom.party/little-patterns/assets/voice/714d67a2f765f5cf.wav"
"Ali is worried.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\90f3a9006b2e2160.wav","","feelings","","","ali is worried","90f3a9006b2e2160","1.021","https://kpopboom.party/little-patterns/assets/voice/90f3a9006b2e2160.wav"
"Ali says, I feel angry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7a51f6b4843294ed.wav","","feelings","","","ali says, i feel angry","7a51f6b4843294ed","1.774","https://kpopboom.party/little-patterns/assets/voice/7a51f6b4843294ed.wav"
"Ali says, I feel frustrated.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ce427c63ffb341e9.wav","","feelings","","","ali says, i feel frustrated","ce427c63ffb341e9","2.022","https://kpopboom.party/little-patterns/assets/voice/ce427c63ffb341e9.wav"
"Ali says, I feel happy.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\aa0275a9d7d3b86f.wav","","feelings","","","ali says, i feel happy","aa0275a9d7d3b86f","1.466","https://kpopboom.party/little-patterns/assets/voice/aa0275a9d7d3b86f.wav"
"Ali says, I feel proud.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7d9bda1f17acf2dd.wav","","feelings","","","ali says, i feel proud","7d9bda1f17acf2dd","1.646","https://kpopboom.party/little-patterns/assets/voice/7d9bda1f17acf2dd.wav"
"Ali says, I feel worried.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7b41fd237f719689.wav","","feelings","","","ali says, i feel worried","7b41fd237f719689","1.775","https://kpopboom.party/little-patterns/assets/voice/7b41fd237f719689.wav"
"Ali sees a flower in the garden. Ali says, I feel happy.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\a558894b56f47ffb.wav","","feelings","","","ali sees a flower in the garden. ali says, i feel happy","a558894b56f47ffb","3.676","https://kpopboom.party/little-patterns/assets/voice/a558894b56f47ffb.wav"
"Angry","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0a96f1960786d85f.wav","","feelings","","","angry","0a96f1960786d85f","0.553","https://kpopboom.party/little-patterns/assets/voice/0a96f1960786d85f.wav"
"APPLE","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3a7bd3e2360a3d29.wav","","word","","","apple","3a7bd3e2360a3d29","0.396","https://kpopboom.party/little-patterns/assets/voice/3a7bd3e2360a3d29.wav"
"apples","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f5903f51e341a783.wav","","word or reusable phrase","","","apples","f5903f51e341a783","0.615","https://kpopboom.party/little-patterns/assets/voice/f5903f51e341a783.wav"
"ASLEEP","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ea51ae6e548ffbb8.wav","","word","","","asleep","ea51ae6e548ffbb8","0.546","https://kpopboom.party/little-patterns/assets/voice/ea51ae6e548ffbb8.wav"
"BALL","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e9de08263f4ad491.wav","","word","","","ball","e9de08263f4ad491","0.456","https://kpopboom.party/little-patterns/assets/voice/e9de08263f4ad491.wav"
"BASKET","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fa76d99ad957d952.wav","","word","","","basket","fa76d99ad957d952","0.565","https://kpopboom.party/little-patterns/assets/voice/fa76d99ad957d952.wav"
"BIG","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2a21fe6d592a19b7.wav","","word","","","big","2a21fe6d592a19b7","0.396","https://kpopboom.party/little-patterns/assets/voice/2a21fe6d592a19b7.wav"
"BUS","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\04e027e4990a203f.wav","","word","","","bus","04e027e4990a203f","0.508","https://kpopboom.party/little-patterns/assets/voice/04e027e4990a203f.wav"
"Calm","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2b4b2eadf7b2aece.wav","","feelings","","","calm","2b4b2eadf7b2aece","0.506","https://kpopboom.party/little-patterns/assets/voice/2b4b2eadf7b2aece.wav"
"CAT","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\77af778b51abd4a3.wav","","word","","","cat","77af778b51abd4a3","0.436","https://kpopboom.party/little-patterns/assets/voice/77af778b51abd4a3.wav"
"circle","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8a39178d327e72a9.wav","","word or reusable phrase","","","circle","8a39178d327e72a9","0.523","https://kpopboom.party/little-patterns/assets/voice/8a39178d327e72a9.wav"
"Copy if you like. Or just look.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\2c1fbe9f0df5e77f.wav","","feelings","","","copy if you like. or just look","2c1fbe9f0df5e77f","1.559","https://kpopboom.party/little-patterns/assets/voice/2c1fbe9f0df5e77f.wav"
"Correct!","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\15a596e3c98c407e.wav","","feelings","","","correct","15a596e3c98c407e","0.653","https://kpopboom.party/little-patterns/assets/voice/15a596e3c98c407e.wav"
"diamond","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\81c9d6128b5fcd7b.wav","","word or reusable phrase","","","diamond","81c9d6128b5fcd7b","0.645","https://kpopboom.party/little-patterns/assets/voice/81c9d6128b5fcd7b.wav"
"Disappointed","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\364d78e6fc3db786.wav","","feelings","","","disappointed","364d78e6fc3db786","0.94","https://kpopboom.party/little-patterns/assets/voice/364d78e6fc3db786.wav"
"DOG","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cd6357efdd966de8.wav","","word","","","dog","cd6357efdd966de8","0.547","https://kpopboom.party/little-patterns/assets/voice/cd6357efdd966de8.wav"
"DRY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b755cb248c3c4a7d.wav","","word","","","dry","b755cb248c3c4a7d","0.45","https://kpopboom.party/little-patterns/assets/voice/b755cb248c3c4a7d.wav"
"EIGHT","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c195d2d875623436.wav","","number","","","eight","c195d2d875623436","0.526","https://kpopboom.party/little-patterns/assets/voice/c195d2d875623436.wav"
"EIGHTEEN","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\34357b18abddea18.wav","","number","","","eighteen","34357b18abddea18","0.591","https://kpopboom.party/little-patterns/assets/voice/34357b18abddea18.wav"
"EIGHTY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\0dbc3407a7080e3d.wav","","number","","","eighty","0dbc3407a7080e3d","0.607","https://kpopboom.party/little-patterns/assets/voice/0dbc3407a7080e3d.wav"
"ELEVEN","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e979074ebd5633a7.wav","","number","","","eleven","e979074ebd5633a7","0.529","https://kpopboom.party/little-patterns/assets/voice/e979074ebd5633a7.wav"
"equals","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\e93cb41d4a7d2395.wav","","word or reusable phrase","","","equals","e93cb41d4a7d2395","0.665","https://kpopboom.party/little-patterns/assets/voice/e93cb41d4a7d2395.wav"
"Excited","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\8d1c8a7a12c3739b.wav","","feelings","","","excited","8d1c8a7a12c3739b","0.771","https://kpopboom.party/little-patterns/assets/voice/8d1c8a7a12c3739b.wav"
"FAST","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\115dc3606fbf8691.wav","","word","","","fast","115dc3606fbf8691","0.55","https://kpopboom.party/little-patterns/assets/voice/115dc3606fbf8691.wav"
"FIFTEEN","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c463967e5708cab7.wav","","number","","","fifteen","c463967e5708cab7","0.672","https://kpopboom.party/little-patterns/assets/voice/c463967e5708cab7.wav"
"FIFTY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\f8d807ee15e983f8.wav","","number","","","fifty","f8d807ee15e983f8","0.538","https://kpopboom.party/little-patterns/assets/voice/f8d807ee15e983f8.wav"
"Find the same picture.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\ac2198cf54b12093.wav","","feelings","","","find the same picture","ac2198cf54b12093","1.23","https://kpopboom.party/little-patterns/assets/voice/ac2198cf54b12093.wav"
"FISH","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\b474a99a2705e23c.wav","","word","","","fish","b474a99a2705e23c","0.495","https://kpopboom.party/little-patterns/assets/voice/b474a99a2705e23c.wav"
"FIVE","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\222b0bd51fcef7e6.wav","","number","","","five","222b0bd51fcef7e6","0.574","https://kpopboom.party/little-patterns/assets/voice/222b0bd51fcef7e6.wav"
"FLOWER","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\c06b0cfe0cc5e900.wav","","word","","","flower","c06b0cfe0cc5e900","0.465","https://kpopboom.party/little-patterns/assets/voice/c06b0cfe0cc5e900.wav"
"FORTY","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9cee2304bd633d42.wav","","number","","","forty","9cee2304bd633d42","0.538","https://kpopboom.party/little-patterns/assets/voice/9cee2304bd633d42.wav"
"FOUR","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\04efaf080f5a3e74.wav","","number","","","four","04efaf080f5a3e74","0.395","https://kpopboom.party/little-patterns/assets/voice/04efaf080f5a3e74.wav"
"FOURTEEN","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\fef8f41cdcd20386.wav","","number","","","fourteen","fef8f41cdcd20386","0.687","https://kpopboom.party/little-patterns/assets/voice/fef8f41cdcd20386.wav"
"Frustrated","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6afb642998f6a61b.wav","","feelings","","","frustrated","6afb642998f6a61b","0.826","https://kpopboom.party/little-patterns/assets/voice/6afb642998f6a61b.wav"
"Good matching!","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\3ccd358740c14ac5.wav","","feelings","","","good matching","3ccd358740c14ac5","0.686","https://kpopboom.party/little-patterns/assets/voice/3ccd358740c14ac5.wav"
"Happy","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\489f719cadf91909.wav","","feelings","","","happy","489f719cadf91909","0.474","https://kpopboom.party/little-patterns/assets/voice/489f719cadf91909.wav"
"Hello! I'm Nook. Let's play.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cd845c4b46d3d15f.wav","","prompt or feedback","","","hello! i'm nook. let's play","cd845c4b46d3d15f","1.749","https://kpopboom.party/little-patterns/assets/voice/cd845c4b46d3d15f.wav"
"HOT","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\7f5d1618e7d28cc7.wav","","word","","","hot","7f5d1618e7d28cc7","0.506","https://kpopboom.party/little-patterns/assets/voice/7f5d1618e7d28cc7.wav"
"Jo is angry.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\4bfcce5191476332.wav","","feelings","","","jo is angry","4bfcce5191476332","0.996","https://kpopboom.party/little-patterns/assets/voice/4bfcce5191476332.wav"
"Jo is calm.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\1a9c139ee58d17d9.wav","","feelings","","","jo is calm","1a9c139ee58d17d9","0.97","https://kpopboom.party/little-patterns/assets/voice/1a9c139ee58d17d9.wav"
"Jo is disappointed.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\6b561d636783f762.wav","","feelings","","","jo is disappointed","6b561d636783f762","1.317","https://kpopboom.party/little-patterns/assets/voice/6b561d636783f762.wav"
"Jo is excited.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\9d744a359e75e1fa.wav","","feelings","","","jo is excited","9d744a359e75e1fa","1.176","https://kpopboom.party/little-patterns/assets/voice/9d744a359e75e1fa.wav"
"Jo is frustrated.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\388e35aa22c39283.wav","","feelings","","","jo is frustrated","388e35aa22c39283","1.272","https://kpopboom.party/little-patterns/assets/voice/388e35aa22c39283.wav"
"Jo is getting ready for a picnic. Jo says, I feel excited.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\cc37a22e9ad43be4.wav","","feelings","","","jo is getting ready for a picnic. jo says, i feel excited","cc37a22e9ad43be4","4.012","https://kpopboom.party/little-patterns/assets/voice/cc37a22e9ad43be4.wav"
"Jo is happy.","C:\hirednerds-portfolio\public\fireworks\little-patterns\assets\voice\676197551db413fa.wav","","feelings","","","jo is happy","676197551db413fa","0.988","https://kpopboom.party/little-patterns/assets/voice/676197551db413fa.wav"
